customer_id,plan_tier,start_date,end_date,mrr,region,acquisition_channel,downgrade_flag,downgrade_date
CUST41,Basic,2024-02-28,2024-05-19,20,North America,Partnership,0,
CUST42,Premium,2024-03-23,2024-10-29,100,Europe,Organic,1,2024-04-10
CUST43,Premium,2024-05-02,2026-01-05,100,Europe,Referral,0,
CUST44,Premium,2025-03-05,2027-02-06,100,North America,Organic,0,
CUST45,Premium,2024-07-28,2026-07-13,100,APAC,Partnership,0,
CUST46,Basic,2024-05-14,2026-05-01,20,APAC,Referral,0,
CUST47,Standard,2024-01-10,2025-05-23,50,APAC,Organic,0,
CUST48,Premium,2024-08-06,2026-02-05,100,North America,Organic,0,
CUST49,Standard,2025-01-13,2025-11-30,50,North America,Paid Ads,0,
CUST50,Premium,2024-11-02,2026-10-12,100,APAC,Organic,1,2025-03-20
CUST51,Standard,2024-06-08,2025-04-12,50,North America,Organic,0,
CUST52,Basic,2024-09-27,2026-03-28,20,APAC,Paid Ads,0,
CUST53,Basic,2024-10-10,2024-12-24,20,North America,Referral,1,2024-10-27
CUST54,Premium,2025-03-28,2026-11-12,100,APAC,Paid Ads,0,
CUST55,Premium,2024-03-18,2026-03-25,100,North America,Organic,0,
CUST56,Premium,2024-05-31,2025-09-13,100,North America,Partnership,1,2024-11-05
CUST57,Standard,2024-08-03,2026-08-01,50,North America,Partnership,0,
CUST58,Basic,2024-06-07,2025-03-06,20,APAC,Referral,0,
CUST59,Basic,2024-07-02,2026-08-25,20,LATAM,Organic,0,
CUST60,Standard,2024-06-12,2026-09-26,50,Europe,Partnership,0,
CUST61,Standard,2024-08-15,2025-04-06,50,North America,Referral,0,
CUST62,Standard,2024-08-21,2025-05-06,50,APAC,Partnership,1,2024-11-28
CUST63,Standard,2024-03-12,2026-06-11,50,APAC,Partnership,0,
CUST64,Premium,2024-01-29,2024-06-25,100,LATAM,Partnership,0,
CUST65,Standard,2024-02-09,2024-06-29,50,Europe,Partnership,0,
CUST66,Standard,2024-04-28,2025-06-26,50,APAC,Referral,0,
CUST67,Basic,2025-03-22,2025-04-22,20,APAC,Organic,0,
CUST68,Premium,2025-03-17,2025-06-26,100,Europe,Partnership,0,
CUST69,Standard,2024-11-03,2026-05-06,50,APAC,Organic,0,
CUST70,Standard,2024-10-29,2026-06-18,50,APAC,Referral,1,2026-01-03
CUST71,Premium,2024-11-04,2026-01-23,100,LATAM,Paid Ads,0,
CUST72,Basic,2024-08-03,2025-11-16,20,APAC,Partnership,0,
CUST73,Premium,2025-03-28,2026-07-23,100,APAC,Referral,0,
CUST74,Premium,2024-03-27,2025-02-10,100,LATAM,Paid Ads,0,
CUST75,Premium,2024-08-28,2026-08-16,100,APAC,Organic,0,
CUST76,Basic,2024-02-17,2024-11-23,20,Europe,Organic,0,
CUST77,Premium,2025-02-28,2027-01-03,100,North America,Referral,0,
CUST78,Premium,2025-02-13,2025-11-19,100,LATAM,Referral,1,2025-02-16
CUST79,Basic,2024-06-29,2026-10-30,20,LATAM,Paid Ads,0,
CUST80,Premium,2024-09-12,2027-02-27,100,LATAM,Organic,1,2025-01-27
CUST81,Standard,2025-05-31,2026-09-09,50,APAC,Referral,0,
CUST82,Premium,2025-05-01,2026-09-03,100,LATAM,Paid Ads,0,
CUST83,Basic,2024-09-01,2025-07-09,20,APAC,Referral,0,
CUST84,Premium,2024-10-05,2025-10-13,100,APAC,Paid Ads,0,
CUST85,Premium,2024-06-03,2025-02-24,100,North America,Paid Ads,0,
CUST86,Basic,2025-02-28,2026-05-21,20,Europe,Organic,0,
CUST87,Standard,2024-07-30,2026-12-29,50,LATAM,Organic,0,
CUST88,Premium,2025-05-03,2025-06-08,100,North America,Referral,0,
CUST89,Standard,2024-08-13,2026-01-24,50,LATAM,Referral,0,
CUST90,Standard,2025-02-02,2026-02-11,50,LATAM,Organic,0,
CUST91,Standard,2024-05-10,2026-03-08,50,Europe,Referral,0,
CUST92,Standard,2025-03-14,2025-08-29,50,North America,Organic,0,
CUST93,Basic,2025-01-23,2026-01-23,20,North America,Partnership,0,
CUST94,Standard,2024-10-11,2026-12-20,50,APAC,Referral,0,
CUST95,Standard,2025-04-26,2025-06-14,50,APAC,Organic,0,
CUST96,Basic,2024-03-11,2026-06-18,20,APAC,Paid Ads,0,
CUST97,Basic,2024-07-23,2026-12-29,20,North America,Paid Ads,1,2024-12-27
CUST98,Basic,2024-04-27,2025-12-25,20,Europe,Referral,0,
CUST99,Standard,2024-06-20,2026-04-01,50,APAC,Partnership,0,
CUST100,Premium,2024-11-14,2025-04-03,100,North America,Paid Ads,0,
CUST101,Standard,2024-07-22,2024-11-06,50,LATAM,Referral,0,
CUST102,Premium,2024-11-04,2027-04-23,100,Europe,Organic,0,
CUST103,Basic,2025-03-14,2027-02-19,20,North America,Partnership,0,
CUST104,Premium,2025-03-06,2027-07-26,100,APAC,Organic,0,
CUST105,Standard,2024-06-05,2025-09-23,50,APAC,Referral,0,
CUST106,Premium,2025-04-21,2026-08-10,100,APAC,Referral,0,
CUST107,Premium,2024-09-08,2027-02-05,100,APAC,Partnership,0,
CUST108,Standard,2025-04-20,2026-12-24,50,LATAM,Paid Ads,0,
CUST109,Standard,2025-05-21,2026-05-18,50,APAC,Organic,0,
CUST110,Basic,2024-12-14,2025-10-26,20,APAC,Partnership,0,
CUST111,Premium,2024-07-14,2024-11-08,100,APAC,Organic,0,
CUST112,Standard,2025-05-02,2027-03-24,50,LATAM,Paid Ads,0,
CUST113,Standard,2024-10-28,2025-07-11,50,North America,Organic,0,
CUST114,Basic,2025-04-29,2026-12-16,20,APAC,Partnership,0,
CUST115,Standard,2025-04-09,2026-02-10,50,APAC,Partnership,0,
CUST116,Basic,2024-11-19,2025-04-20,20,North America,Paid Ads,0,
CUST117,Premium,2024-08-09,2026-10-04,100,Europe,Paid Ads,0,
CUST118,Premium,2024-07-17,2025-06-15,100,APAC,Organic,0,
CUST119,Basic,2024-05-09,2025-03-15,20,APAC,Organic,1,2024-06-06
CUST120,Premium,2025-05-17,2025-09-29,100,APAC,Paid Ads,0,
CUST121,Premium,2025-05-05,2026-08-29,100,APAC,Referral,0,
CUST122,Basic,2024-04-26,2026-09-14,20,APAC,Referral,1,2025-09-12
CUST123,Basic,2024-06-01,2026-10-09,20,North America,Paid Ads,0,
CUST124,Standard,2024-05-01,2025-12-23,50,North America,Paid Ads,0,
CUST125,Premium,2025-04-06,2026-08-02,100,Europe,Referral,0,
CUST126,Premium,2024-03-02,2025-12-16,100,LATAM,Partnership,0,
CUST127,Basic,2024-09-27,2026-09-03,20,Europe,Paid Ads,1,2025-05-31
CUST128,Basic,2024-01-03,2025-03-26,20,North America,Paid Ads,0,
CUST129,Premium,2024-02-03,2024-10-27,100,LATAM,Partnership,0,
CUST130,Standard,2024-08-27,2025-06-23,50,LATAM,Organic,0,
CUST131,Premium,2024-04-27,2025-12-05,100,Europe,Referral,0,
CUST132,Basic,2024-03-14,2024-06-13,20,APAC,Paid Ads,0,
CUST133,Standard,2024-05-07,2025-09-28,50,APAC,Referral,0,
CUST134,Premium,2025-05-27,2026-12-30,100,LATAM,Partnership,0,
CUST135,Basic,2024-11-26,2026-09-05,20,North America,Referral,0,
CUST136,Basic,2024-10-02,2026-06-14,20,Europe,Organic,1,2025-03-31
CUST137,Standard,2024-07-04,2026-03-25,50,LATAM,Partnership,0,
CUST138,Standard,2024-12-22,2026-03-15,50,North America,Referral,0,
CUST139,Premium,2024-12-03,2026-02-27,100,North America,Paid Ads,0,
CUST140,Standard,2025-04-10,2025-08-08,50,LATAM,Organic,0,
CUST141,Standard,2024-01-02,2025-12-05,50,North America,Referral,0,
CUST142,Standard,2024-07-11,2026-01-22,50,LATAM,Organic,0,
CUST143,Standard,2024-07-27,2025-05-26,50,LATAM,Organic,0,
CUST144,Standard,2024-05-04,2024-07-02,50,LATAM,Referral,0,
CUST145,Premium,2024-11-14,2026-07-01,100,Europe,Paid Ads,1,2026-01-06
CUST146,Basic,2025-04-17,2025-09-14,20,Europe,Organic,0,
CUST147,Basic,2024-10-06,2026-01-04,20,LATAM,Partnership,0,
CUST148,Standard,2024-05-28,2025-07-24,50,Europe,Referral,0,
CUST149,Premium,2024-10-09,2027-01-08,100,Europe,Organic,0,
CUST150,Standard,2024-01-03,2024-11-17,50,APAC,Partnership,0,
CUST151,Premium,2025-04-02,2026-11-04,100,LATAM,Paid Ads,0,
CUST152,Standard,2024-11-25,2025-07-06,50,LATAM,Referral,0,
CUST153,Basic,2025-02-24,2025-05-09,20,LATAM,Paid Ads,0,
CUST154,Standard,2024-06-04,2025-11-23,50,LATAM,Referral,0,
CUST155,Basic,2025-03-26,2025-08-05,20,APAC,Organic,0,
CUST156,Standard,2025-02-23,2027-01-24,50,North America,Paid Ads,0,
CUST157,Basic,2024-12-12,2026-10-11,20,LATAM,Partnership,0,
CUST158,Premium,2025-01-24,2026-01-13,100,North America,Partnership,0,
CUST159,Standard,2024-08-28,2026-07-05,50,North America,Organic,0,
CUST160,Standard,2025-03-20,2025-07-28,50,Europe,Organic,0,
CUST161,Premium,2024-06-19,2026-06-29,100,North America,Referral,0,
CUST162,Basic,2024-02-27,2025-01-22,20,North America,Partnership,0,
CUST163,Standard,2025-02-25,2026-10-27,50,Europe,Paid Ads,0,
CUST164,Basic,2024-03-21,2026-01-04,20,Europe,Paid Ads,0,
CUST165,Premium,2024-05-26,2025-02-17,100,Europe,Referral,0,
CUST166,Standard,2024-01-10,2026-05-12,50,LATAM,Partnership,0,
CUST167,Standard,2025-03-28,2026-04-15,50,Europe,Organic,0,
CUST168,Standard,2025-04-12,2027-09-24,50,LATAM,Partnership,0,
CUST169,Standard,2024-08-30,2025-10-24,50,LATAM,Organic,0,
CUST170,Premium,2024-01-23,2026-06-20,100,APAC,Partnership,0,
CUST171,Standard,2025-05-23,2027-10-22,50,North America,Organic,0,
CUST172,Standard,2024-08-12,2026-06-24,50,Europe,Partnership,0,
CUST173,Standard,2024-02-10,2025-01-21,50,Europe,Organic,0,
CUST174,Basic,2024-04-02,2025-02-28,20,APAC,Paid Ads,0,
CUST175,Standard,2024-05-15,2026-08-28,50,Europe,Paid Ads,0,
CUST176,Standard,2024-09-20,2027-02-11,50,APAC,Paid Ads,0,
CUST177,Standard,2025-04-24,2025-08-09,50,APAC,Organic,1,2025-05-23
CUST178,Premium,2024-04-02,2026-07-20,100,LATAM,Partnership,0,
CUST179,Standard,2025-01-12,2026-12-31,50,North America,Referral,0,
CUST180,Standard,2024-04-20,2026-04-11,50,LATAM,Partnership,0,
CUST181,Basic,2024-03-05,2026-01-14,20,APAC,Paid Ads,0,
CUST182,Premium,2024-04-29,2024-10-19,100,APAC,Referral,1,2024-05-09
CUST183,Standard,2024-04-09,2025-01-04,50,LATAM,Organic,0,
CUST184,Basic,2025-01-14,2026-12-31,20,LATAM,Referral,0,
CUST185,Premium,2025-02-28,2027-01-29,100,LATAM,Paid Ads,1,2026-07-15
CUST186,Premium,2024-02-03,2026-02-08,100,LATAM,Partnership,0,
CUST187,Standard,2025-01-06,2025-05-17,50,LATAM,Paid Ads,0,
CUST188,Standard,2025-02-11,2025-12-20,50,APAC,Organic,0,
CUST189,Basic,2024-08-05,2026-06-23,20,LATAM,Organic,0,
CUST190,Basic,2024-09-06,2025-02-11,20,North America,Partnership,0,
CUST191,Basic,2024-08-09,2026-12-19,20,North America,Paid Ads,0,
CUST192,Standard,2024-10-10,2025-04-06,50,Europe,Organic,0,
CUST193,Premium,2024-04-22,2026-03-29,100,APAC,Paid Ads,0,
CUST194,Basic,2024-08-31,2026-05-25,20,North America,Partnership,0,
CUST195,Basic,2024-05-09,2026-07-07,20,APAC,Organic,0,
CUST196,Basic,2025-04-04,2027-07-09,20,North America,Referral,0,
CUST197,Premium,2025-05-30,2026-02-10,100,North America,Referral,0,
CUST198,Basic,2024-02-01,2024-05-03,20,APAC,Referral,0,
CUST199,Standard,2025-05-17,2027-06-15,50,LATAM,Organic,0,
CUST200,Basic,2024-05-31,2024-09-05,20,North America,Partnership,1,2024-08-19
CUST201,Premium,2024-10-28,2026-03-06,100,APAC,Referral,0,
CUST202,Standard,2024-08-08,2025-11-21,50,North America,Organic,0,
CUST203,Basic,2025-04-09,2026-06-21,20,LATAM,Partnership,0,
CUST204,Basic,2024-11-16,2026-10-28,20,APAC,Referral,0,
CUST205,Basic,2024-04-03,2026-09-01,20,LATAM,Organic,1,2025-06-20
CUST206,Basic,2024-03-02,2025-11-22,20,APAC,Paid Ads,0,
CUST207,Premium,2025-02-24,2026-03-23,100,APAC,Organic,0,
CUST208,Standard,2024-11-15,2025-12-10,50,North America,Partnership,1,2025-08-02
CUST209,Basic,2024-08-17,2027-01-31,20,Europe,Referral,1,2026-12-31
CUST210,Premium,2024-10-12,2026-06-21,100,APAC,Organic,0,
CUST211,Standard,2024-01-30,2024-08-31,50,North America,Partnership,0,
CUST212,Standard,2024-01-07,2024-08-09,50,APAC,Partnership,0,
CUST213,Premium,2024-05-25,2026-07-22,100,LATAM,Organic,0,
CUST214,Basic,2025-01-20,2026-04-24,20,North America,Paid Ads,0,
CUST215,Basic,2024-11-28,2027-03-03,20,APAC,Partnership,0,
CUST216,Premium,2024-06-08,2024-12-16,100,North America,Organic,0,
CUST217,Basic,2025-03-29,2027-03-06,20,North America,Partnership,0,
CUST218,Premium,2024-10-06,2025-06-13,100,LATAM,Referral,0,
CUST219,Basic,2024-04-23,2025-03-09,20,APAC,Referral,0,
CUST220,Premium,2024-02-16,2024-10-28,100,LATAM,Partnership,0,
CUST221,Premium,2024-07-28,2025-07-01,100,North America,Organic,0,
CUST222,Basic,2024-12-01,2025-05-02,20,APAC,Partnership,1,2025-03-22
CUST223,Basic,2024-08-23,2026-02-16,20,Europe,Referral,0,
CUST224,Premium,2025-02-10,2027-04-10,100,APAC,Organic,1,2025-03-02
CUST225,Standard,2025-03-15,2026-11-22,50,North America,Partnership,0,
CUST226,Premium,2024-04-27,2025-07-15,100,LATAM,Partnership,1,2024-10-11
CUST227,Basic,2024-03-31,2025-07-21,20,LATAM,Partnership,0,
CUST228,Basic,2024-03-21,2025-05-30,20,LATAM,Referral,0,
CUST229,Premium,2024-12-07,2027-03-14,100,APAC,Paid Ads,0,
CUST230,Premium,2024-12-23,2026-01-16,100,North America,Paid Ads,0,
CUST231,Premium,2024-04-15,2024-10-11,100,Europe,Paid Ads,0,
CUST232,Basic,2024-06-30,2026-09-29,20,Europe,Organic,0,
CUST233,Standard,2024-11-19,2025-05-22,50,LATAM,Partnership,0,
CUST234,Standard,2024-10-08,2026-07-05,50,LATAM,Partnership,1,2026-03-12
CUST235,Basic,2025-04-07,2025-06-14,20,APAC,Referral,1,2025-05-14
CUST236,Basic,2025-04-18,2027-01-02,20,North America,Referral,0,
CUST237,Premium,2024-07-11,2025-07-05,100,North America,Referral,0,
CUST238,Premium,2025-04-06,2025-08-19,100,Europe,Organic,0,
CUST239,Standard,2024-02-10,2024-11-19,50,North America,Paid Ads,0,
CUST240,Standard,2025-01-16,2025-12-01,50,Europe,Partnership,0,
CUST241,Standard,2024-03-08,2025-03-10,50,North America,Partnership,1,2025-02-19
CUST242,Standard,2024-06-02,2025-06-08,50,APAC,Partnership,1,2025-05-08
CUST243,Basic,2025-02-05,2025-07-17,20,APAC,Partnership,0,
CUST244,Basic,2024-12-02,2027-04-13,20,APAC,Referral,1,2026-11-22
CUST245,Premium,2025-01-05,2025-02-22,100,North America,Referral,0,
CUST246,Basic,2025-05-12,2025-12-24,20,Europe,Partnership,0,
CUST247,Basic,2024-10-29,2027-04-11,20,Europe,Organic,0,
CUST248,Premium,2024-05-14,2026-02-14,100,North America,Partnership,0,
CUST249,Basic,2025-03-24,2025-06-06,20,Europe,Paid Ads,0,
CUST250,Premium,2024-10-18,2026-12-27,100,Europe,Referral,0,
CUST251,Standard,2024-11-12,2027-03-20,50,Europe,Paid Ads,0,
CUST252,Basic,2025-04-17,2027-07-13,20,APAC,Referral,0,
CUST253,Standard,2024-07-23,2026-11-20,50,LATAM,Paid Ads,0,
CUST254,Standard,2025-01-15,2026-09-04,50,North America,Referral,0,
CUST255,Premium,2024-03-26,2026-06-15,100,North America,Partnership,0,
CUST256,Standard,2024-04-03,2024-12-16,50,Europe,Referral,0,
CUST257,Standard,2024-02-24,2025-05-04,50,North America,Referral,0,
CUST258,Basic,2025-01-18,2025-10-04,20,LATAM,Organic,1,2025-03-10
CUST259,Premium,2024-05-20,2024-07-28,100,APAC,Paid Ads,0,
CUST260,Standard,2025-04-04,2027-01-24,50,Europe,Referral,1,2025-06-25
CUST261,Basic,2024-06-02,2026-01-14,20,APAC,Paid Ads,0,
CUST262,Premium,2024-10-22,2025-07-22,100,LATAM,Organic,0,
CUST263,Basic,2025-04-13,2025-07-16,20,Europe,Referral,1,2025-06-16
CUST264,Premium,2024-05-27,2025-04-20,100,North America,Paid Ads,0,
CUST265,Premium,2025-03-02,2025-10-09,100,APAC,Paid Ads,0,
CUST266,Basic,2024-01-21,2025-03-25,20,APAC,Organic,0,
CUST267,Basic,2024-09-16,2026-11-20,20,LATAM,Partnership,1,2024-11-25
CUST268,Standard,2024-12-06,2025-05-21,50,Europe,Organic,1,2025-04-25
CUST269,Standard,2025-05-05,2027-03-12,50,Europe,Referral,0,
CUST270,Basic,2024-02-07,2025-01-02,20,North America,Referral,0,
CUST271,Basic,2024-11-13,2026-05-24,20,North America,Partnership,0,
CUST272,Premium,2024-02-07,2026-04-18,100,LATAM,Partnership,0,
CUST273,Standard,2024-12-05,2025-10-10,50,APAC,Organic,1,2025-06-12
CUST274,Standard,2025-01-30,2026-02-11,50,LATAM,Referral,0,
CUST275,Standard,2024-09-30,2027-01-28,50,LATAM,Partnership,1,2025-12-09
CUST276,Basic,2024-10-27,2025-10-20,20,LATAM,Paid Ads,1,2025-04-13
CUST277,Premium,2025-04-01,2027-01-08,100,APAC,Partnership,0,
CUST278,Basic,2025-04-02,2025-06-14,20,LATAM,Partnership,0,
CUST279,Standard,2024-02-28,2024-06-13,50,LATAM,Partnership,0,
CUST280,Standard,2024-02-01,2024-07-26,50,APAC,Paid Ads,0,
CUST281,Premium,2024-05-09,2024-08-15,100,LATAM,Organic,0,
CUST282,Premium,2025-01-27,2026-09-29,100,APAC,Partnership,1,2025-07-04
CUST283,Premium,2025-01-15,2026-05-14,100,LATAM,Partnership,0,
CUST284,Premium,2025-02-11,2026-01-28,100,Europe,Partnership,0,
CUST285,Basic,2024-07-09,2026-01-01,20,North America,Organic,0,
CUST286,Premium,2024-09-23,2026-10-13,100,North America,Partnership,0,
CUST287,Premium,2024-07-23,2024-12-25,100,APAC,Referral,1,2024-08-11
CUST288,Standard,2024-03-30,2026-08-06,50,Europe,Referral,0,
CUST289,Standard,2024-10-24,2025-09-26,50,APAC,Organic,0,
CUST290,Premium,2024-08-17,2025-01-18,100,Europe,Partnership,0,
CUST291,Basic,2024-01-27,2025-03-01,20,Europe,Referral,0,
CUST292,Standard,2024-03-29,2024-07-04,50,LATAM,Paid Ads,0,
CUST293,Premium,2025-02-23,2027-07-16,100,LATAM,Referral,0,
CUST294,Basic,2025-04-05,2026-08-25,20,APAC,Organic,0,
CUST295,Standard,2024-05-12,2025-08-28,50,Europe,Paid Ads,0,
CUST296,Basic,2024-11-07,2025-05-24,20,North America,Paid Ads,0,
CUST297,Premium,2024-10-17,2027-04-01,100,Europe,Partnership,1,2025-05-07
CUST298,Premium,2024-11-06,2026-08-27,100,APAC,Paid Ads,0,
CUST299,Premium,2024-06-24,2026-05-29,100,Europe,Paid Ads,0,
CUST300,Premium,2024-01-30,2024-05-22,100,APAC,Organic,1,2024-04-22
CUST301,Premium,2025-03-02,2026-12-24,100,APAC,Paid Ads,0,
CUST302,Standard,2025-05-09,2026-02-13,50,APAC,Partnership,0,
CUST303,Premium,2025-04-09,2025-07-22,100,LATAM,Partnership,0,
CUST304,Basic,2025-05-10,2026-09-27,20,LATAM,Referral,0,
CUST305,Premium,2024-11-22,2027-01-12,100,Europe,Partnership,0,
CUST306,Standard,2025-01-14,2026-07-25,50,LATAM,Paid Ads,0,
CUST307,Standard,2024-05-05,2025-03-04,50,Europe,Referral,0,
CUST308,Basic,2024-10-24,2025-12-21,20,North America,Organic,0,
CUST309,Standard,2024-12-01,2026-08-14,50,Europe,Paid Ads,0,
CUST310,Basic,2025-04-23,2026-10-15,20,Europe,Referral,0,
CUST311,Standard,2025-02-06,2026-08-07,50,North America,Organic,0,
CUST312,Basic,2024-02-19,2024-05-10,20,Europe,Partnership,0,
CUST313,Premium,2024-01-09,2026-06-24,100,LATAM,Partnership,1,2024-05-26
CUST314,Standard,2025-01-09,2025-03-26,50,APAC,Referral,0,
CUST315,Premium,2024-10-22,2025-02-04,100,Europe,Partnership,0,
CUST316,Standard,2024-05-11,2024-09-17,50,APAC,Organic,0,
CUST317,Standard,2024-07-22,2026-04-29,50,APAC,Paid Ads,0,
CUST318,Premium,2024-02-09,2024-07-28,100,North America,Organic,0,
CUST319,Standard,2024-05-23,2025-05-23,50,LATAM,Paid Ads,0,
CUST320,Standard,2024-11-02,2026-08-01,50,Europe,Referral,0,
CUST321,Premium,2025-05-01,2027-09-13,100,LATAM,Partnership,1,2026-04-06
CUST322,Premium,2024-11-11,2027-03-06,100,North America,Referral,0,
CUST323,Premium,2024-09-28,2026-08-30,100,North America,Referral,0,
CUST324,Premium,2025-05-06,2025-11-26,100,Europe,Organic,0,
CUST325,Premium,2024-09-05,2024-11-06,100,LATAM,Paid Ads,0,
CUST326,Premium,2024-01-20,2025-05-15,100,North America,Paid Ads,0,
CUST327,Basic,2025-02-24,2026-08-21,20,LATAM,Paid Ads,0,
CUST328,Standard,2024-07-31,2026-03-27,50,North America,Paid Ads,0,
CUST329,Premium,2024-11-17,2025-06-12,100,LATAM,Referral,0,
CUST330,Premium,2024-09-27,2026-07-13,100,APAC,Partnership,0,
CUST331,Basic,2024-08-18,2025-07-18,20,APAC,Partnership,0,
CUST332,Premium,2024-11-20,2026-04-25,100,Europe,Referral,0,
CUST333,Premium,2024-05-04,2026-01-11,100,APAC,Partnership,0,
CUST334,Standard,2024-05-29,2025-04-21,50,LATAM,Partnership,1,2024-07-09
CUST335,Standard,2025-05-05,2026-01-09,50,LATAM,Partnership,0,
CUST336,Premium,2024-05-20,2024-10-08,100,APAC,Partnership,0,
CUST337,Premium,2024-02-21,2026-02-05,100,Europe,Paid Ads,0,
CUST338,Basic,2024-04-12,2025-07-09,20,Europe,Organic,0,
CUST339,Standard,2024-01-06,2025-08-21,50,North America,Paid Ads,0,
CUST340,Basic,2025-05-03,2027-03-30,20,LATAM,Referral,0,
CUST341,Standard,2024-03-01,2026-05-27,50,APAC,Partnership,1,2025-10-10
CUST342,Basic,2025-03-03,2027-08-07,20,North America,Paid Ads,0,
CUST343,Basic,2024-07-09,2026-09-13,20,LATAM,Referral,0,
CUST344,Standard,2024-11-01,2026-07-05,50,North America,Organic,0,
CUST345,Standard,2025-05-20,2025-11-03,50,APAC,Referral,0,
CUST346,Standard,2024-04-25,2025-04-28,50,APAC,Paid Ads,0,
CUST347,Standard,2024-01-15,2026-03-09,50,APAC,Paid Ads,0,
CUST348,Standard,2025-02-19,2027-07-15,50,Europe,Paid Ads,0,
CUST349,Standard,2024-04-07,2024-11-12,50,North America,Referral,0,
CUST350,Standard,2024-01-07,2024-10-30,50,APAC,Paid Ads,0,
CUST351,Standard,2024-11-05,2026-07-24,50,APAC,Partnership,0,
CUST352,Basic,2024-08-29,2024-11-30,20,APAC,Partnership,0,
CUST353,Standard,2025-02-19,2027-02-21,50,APAC,Paid Ads,0,
CUST354,Premium,2024-10-29,2025-12-09,100,APAC,Organic,0,
CUST355,Basic,2024-06-05,2025-10-13,20,Europe,Referral,0,
CUST356,Premium,2025-04-27,2027-07-11,100,APAC,Referral,0,
CUST357,Premium,2024-03-24,2025-10-13,100,Europe,Paid Ads,0,
CUST358,Premium,2024-04-24,2024-07-26,100,APAC,Organic,0,
CUST359,Premium,2024-06-17,2025-06-17,100,Europe,Paid Ads,0,
CUST360,Standard,2025-05-15,2025-09-15,50,North America,Paid Ads,0,
CUST361,Standard,2024-05-15,2025-11-21,50,North America,Referral,0,
CUST362,Premium,2024-11-11,2026-12-21,100,North America,Referral,1,2025-07-30
CUST363,Basic,2024-02-16,2025-05-24,20,Europe,Organic,0,
CUST364,Basic,2025-04-28,2025-06-29,20,North America,Organic,0,
CUST365,Basic,2025-01-18,2026-03-15,20,Europe,Referral,0,
CUST366,Standard,2024-05-16,2026-04-15,50,LATAM,Organic,0,
